Date,Open,High,Low,Close,Adj Close,Volume
2017-11-30,null,null,null,null,null,null
2017-12-01,22916.929688,22994.310547,22675.070313,22819.029297,22819.029297,89700
2017-12-04,22843.529297,22864.330078,22693.990234,22707.160156,22707.160156,68900
2017-12-05,22595.330078,22682.710938,22522.279297,22622.380859,22622.380859,75900
2017-12-06,22525.380859,22528.210938,22119.210938,22177.039063,22177.039063,97300
2017-12-07,22317.150391,22515.240234,22317.150391,22498.029297,22498.029297,79500
2017-12-08,22627.949219,22819.710938,22625.410156,22811.080078,22811.080078,106900
2017-12-11,22894.300781,22938.730469,22787.400391,22938.730469,22938.730469,69500
2017-12-12,22936.410156,22994.330078,22834.890625,22866.169922,22866.169922,86100
2017-12-13,22879.269531,22879.369141,22697.320313,22758.070313,22758.070313,91400
2017-12-14,22699.300781,22786.609375,22638.759766,22694.449219,22694.449219,85100
2017-12-15,22621.359375,22745.089844,22478.320313,22553.220703,22553.220703,99400
2017-12-18,22770.439453,22927.500000,22735.199219,22901.769531,22901.769531,85200
2017-12-19,22961.470703,22990.419922,22862.820313,22868.000000,22868.000000,70500
2017-12-20,22834.929688,22923.500000,22806.730469,22891.720703,22891.720703,92400
2017-12-21,22852.009766,22894.949219,22728.060547,22866.099609,22866.099609,73000
2017-12-22,22850.730469,22908.839844,22801.160156,22902.759766,22902.759766,77800
2017-12-25,22909.410156,22948.830078,22870.189453,22939.179688,22939.179688,43100
2017-12-26,22922.949219,22950.150391,22877.630859,22892.689453,22892.689453,46400
2017-12-27,22854.390625,22936.160156,22854.390625,22911.210938,22911.210938,47200
2017-12-28,22912.050781,22954.449219,22736.429688,22783.980469,22783.980469,50300
2017-12-29,22831.490234,22881.210938,22753.199219,22764.939453,22764.939453,46500
2018-01-01,null,null,null,null,null,null
2018-01-02,null,null,null,null,null,null
2018-01-03,null,null,null,null,null,null
2018-01-04,23073.730469,23506.330078,23065.199219,23506.330078,23506.330078,102200
2018-01-05,23643.000000,23730.470703,23520.519531,23714.529297,23714.529297,101900
2018-01-08,null,null,null,null,null,null
2018-01-09,23948.970703,23952.609375,23789.029297,23849.990234,23849.990234,94100
2018-01-10,23832.810547,23864.759766,23755.449219,23788.199219,23788.199219,88800
2018-01-11,23656.390625,23734.970703,23601.839844,23710.429688,23710.429688,83700
2018-01-12,23719.660156,23743.050781,23588.070313,23653.820313,23653.820313,93700
2018-01-15,23827.980469,23833.269531,23685.019531,23714.880859,23714.880859,75400
2018-01-16,23721.169922,23962.070313,23701.830078,23951.810547,23951.810547,68500
2018-01-17,23783.419922,23891.630859,23739.169922,23868.339844,23868.339844,82200
2018-01-18,24078.929688,24084.419922,23699.470703,23763.369141,23763.369141,99400
2018-01-19,23854.109375,23872.689453,23735.609375,23808.060547,23808.060547,71800
2018-01-22,23797.839844,23816.330078,23697.810547,23816.330078,23816.330078,65200
2018-01-23,23924.400391,24129.339844,23916.019531,24124.150391,24124.150391,73400
2018-01-24,24026.429688,24072.769531,23917.140625,23940.779297,23940.779297,79900
2018-01-25,23750.650391,23828.400391,23649.029297,23669.490234,23669.490234,81500
2018-01-26,23757.339844,23797.960938,23592.279297,23631.880859,23631.880859,87200
2018-01-29,23707.140625,23787.230469,23580.169922,23629.339844,23629.339844,68800
2018-01-30,23559.330078,23581.980469,23233.369141,23291.970703,23291.970703,88800
2018-01-31,23205.230469,23375.380859,23092.849609,23098.289063,23098.289063,99800
2018-02-01,23276.099609,23492.769531,23211.119141,23486.109375,23486.109375,101800
2018-02-02,23361.669922,23367.960938,23122.449219,23274.529297,23274.529297,98600
2018-02-05,22921.160156,22967.689453,22659.429688,22682.080078,22682.080078,107600
2018-02-06,22267.000000,22277.449219,21078.710938,21610.240234,21610.240234,190100
2018-02-07,22001.289063,22353.869141,21627.130859,21645.369141,21645.369141,143500
2018-02-08,21721.570313,21977.029297,21649.699219,21890.859375,21890.859375,104700
2018-02-09,21507.740234,21510.300781,21119.009766,21382.619141,21382.619141,127600
2018-02-12,null,null,null,null,null,null
2018-02-13,21633.339844,21679.199219,21211.529297,21244.679688,21244.679688,114700
2018-02-14,21251.240234,21371.009766,20950.150391,21154.169922,21154.169922,103900
2018-02-15,21384.099609,21578.990234,21308.919922,21464.980469,21464.980469,86400
2018-02-16,21555.990234,21866.369141,21499.880859,21720.250000,21720.250000,77800
2018-02-19,21903.660156,22152.849609,21858.330078,22149.210938,22149.210938,68500
2018-02-20,22054.320313,22063.869141,21831.449219,21925.099609,21925.099609,67500
2018-02-21,21942.419922,22130.580078,21836.730469,21970.810547,21970.810547,77900
2018-02-22,21789.880859,21799.400391,21626.849609,21736.439453,21736.439453,77300
2018-02-23,21789.720703,21903.390625,21741.630859,21892.779297,21892.779297,64600
2018-02-26,22134.640625,22226.529297,22040.869141,22153.630859,22153.630859,64600
2018-02-27,22391.669922,22502.050781,22325.070313,22389.859375,22389.859375,74300
2018-02-28,22292.529297,22380.279297,22068.240234,22068.240234,22068.240234,88800
2018-03-01,21901.130859,21901.130859,21645.220703,21724.470703,21724.470703,90300
2018-03-02,21339.980469,21366.089844,21088.960938,21181.640625,21181.640625,97100
2018-03-05,21047.810547,21164.380859,20937.259766,21042.089844,21042.089844,87200
2018-03-06,21390.199219,21551.140625,21381.419922,21417.759766,21417.759766,76400
2018-03-07,21261.960938,21484.080078,21201.939453,21252.720703,21252.720703,87000
2018-03-08,21488.160156,21488.160156,21299.400391,21368.070313,21368.070313,72100
2018-03-09,21594.220703,21884.449219,21357.550781,21469.199219,21469.199219,110500
2018-03-12,21826.099609,21971.160156,21689.970703,21824.029297,21824.029297,70600
2018-03-13,21742.449219,21968.099609,21700.779297,21968.099609,21968.099609,68100
2018-03-14,21764.990234,21881.089844,21684.019531,21777.289063,21777.289063,65000
2018-03-15,21704.140625,21825.970703,21555.490234,21803.949219,21803.949219,65300
2018-03-16,21876.529297,21879.279297,21632.849609,21676.509766,21676.509766,75700
2018-03-19,21537.900391,21659.039063,21366.880859,21480.900391,21480.900391,67300
2018-03-20,21297.980469,21384.859375,21223.970703,21380.970703,21380.970703,66500
2018-03-21,null,null,null,null,null,null
2018-03-22,21352.160156,21592.000000,21349.710938,21591.990234,21591.990234,82600
2018-03-23,21188.800781,21188.800781,20559.609375,20617.859375,20617.859375,121000
2018-03-26,20423.369141,20766.099609,20347.490234,20766.099609,20766.099609,97500
2018-03-27,20958.900391,21317.320313,20943.310547,21317.320313,21317.320313,101900
2018-03-28,20893.050781,21031.310547,20776.820313,21031.310547,21031.310547,88100
2018-03-29,21250.960938,21298.570313,20996.220703,21159.080078,21159.080078,78900
2018-03-30,21392.419922,21512.800781,21311.500000,21454.300781,21454.300781,63600
